id,list,unit,german,fa_text,audio_path
b2-0001,B2 all 12 units,Unit 1,"der Absolvent, -en",فارغ‌التحصیل مرد,audio/fa/62c46726a76093e4ce.mp3
b2-0002,B2 all 12 units,Unit 1,"die Absolventin, -nen",فارغ‌التحصیل زن,audio/fa/c4cc0b257d64b361ae.mp3
b2-0003,B2 all 12 units,Unit 1,sich anpassen an (+ Akk.),خود را عیار ساختن با,audio/fa/8098c901e8a0187fac.mp3
b2-0004,B2 all 12 units,Unit 1,"der Arbeitsberater, -",مشاور کاری مرد,audio/fa/c9c346fda8f5e7392e.mp3
b2-0005,B2 all 12 units,Unit 1,"die Arbeitsberaterin, -nen",مشاور کاری زن,audio/fa/65aee6bcf68a95709f.mp3
b2-0006,B2 all 12 units,Unit 1,die Arbeitsteilung,تقسیم کار,audio/fa/1a9baa7ecd55ed3156.mp3
b2-0007,B2 all 12 units,Unit 1,die Arbeitswelt,دنیای کار,audio/fa/79eb9249cec06615a2.mp3
b2-0008,B2 all 12 units,Unit 1,aufgrund von (+ Dat.),به دلیلِ / بر اساسِ,audio/fa/a7478955ffdbad6459.mp3
b2-0009,B2 all 12 units,Unit 1,"die Bedeutung, -en",معنی؛ اهمیت,audio/fa/05f4edf27ea8edc870.mp3
b2-0010,B2 all 12 units,Unit 1,sich behaupten,خود را ثابت ساختن,audio/fa/c709a8e58cd49198a5.mp3
b2-0011,B2 all 12 units,Unit 1,"der Berufsweg, -e",مسیر شغلی,audio/fa/28b75e74e22f5f0b71.mp3
b2-0012,B2 all 12 units,Unit 1,die Digitalisierung,دیجیتالی‌سازی,audio/fa/a8ec7d7d12f63ef0a8.mp3
b2-0013,B2 all 12 units,Unit 1,sich einstellen auf (+ Akk.),خود را آماده ساختن برای,audio/fa/1b76e8c8517627b9f2.mp3
b2-0014,B2 all 12 units,Unit 1,erforderlich,ضروری؛ لازم,audio/fa/ff09d80417bb7e5231.mp3
b2-0015,B2 all 12 units,Unit 1,etw. erwerben,چیزی را کسب کردن,audio/fa/e04b1aa44659ef0921.mp3
b2-0016,B2 all 12 units,Unit 1,"der Erwerbstätige, -n",شخص شاغل مرد,audio/fa/34781889a1a3800c6a.mp3
b2-0017,B2 all 12 units,Unit 1,"die Erwerbstätige, -n",شخص شاغل زن,audio/fa/f12fde130a30909f4b.mp3
b2-0018,B2 all 12 units,Unit 1,"der Freiberufler, -",آزادکار مرد,audio/fa/d981c5ed78114b7c6e.mp3
b2-0019,B2 all 12 units,Unit 1,"die Freiberuflerin, -nen",آزادکار زن,audio/fa/9105141d0b8ee206f6.mp3
b2-0020,B2 all 12 units,Unit 1,die Globalisierung,جهانی‌شدن,audio/fa/35f2de930e0279aa4d.mp3
b2-0021,B2 all 12 units,Unit 1,"die Herausforderung, -en",چالش,audio/fa/39660d29532586b216.mp3
b2-0022,B2 all 12 units,Unit 1,interkulturelle Kompetenz,توانایی بین‌فرهنگی,audio/fa/cf151411709186ef94.mp3
b2-0023,B2 all 12 units,Unit 1,der Klimawandel,تغییر اقلیم,audio/fa/a7286602945f3f9411.mp3
b2-0024,B2 all 12 units,Unit 1,"die Kompetenz, -en",مهارت؛ صلاحیت,audio/fa/42d071460ffcfa8142.mp3
b2-0025,B2 all 12 units,Unit 1,modernisieren,عصری‌سازی کردن,audio/fa/a8fdcf6b23640eca81.mp3
