filename,locale,voice,text
0000bb1d14acd6c0.mp3,ar-SA,ar-SA-ZariyahNeural,سياسة / بيئة
00060f81673bf4d0.mp3,ar-SA,ar-SA-ZariyahNeural,يود المرء الاعتناء.
0009b8b957d484ae.mp3,ar-SA,ar-SA-ZariyahNeural,درس كثيراً، لذلك نجح في الامتحان.
00185a0813b9291a.mp3,ar-SA,ar-SA-ZariyahNeural,المساهمة مهمة.
0020d9348a5a3f59.mp3,ar-SA,ar-SA-ZariyahNeural,الدراسة الجامعية
00215af927c190bd.mp3,ar-SA,ar-SA-ZariyahNeural,الانتخابات تجري في سبتمبر.
0025df8484555159.mp3,ar-SA,ar-SA-ZariyahNeural,هل يمكنني رؤية قائمة الطعام؟
0029eac72595ce03.mp3,ar-SA,ar-SA-ZariyahNeural,المادة الخام مهمة هنا.
003842a63bab9238.mp3,ar-SA,ar-SA-ZariyahNeural,أرسلت الطلب.
003e4ae6390a613c.mp3,ar-SA,ar-SA-ZariyahNeural,هذا اختياري جداً.
005ac51aa65c6e99.mp3,ar-SA,ar-SA-ZariyahNeural,غضب؛ مشكلة
007e3d3c491b4ccc.mp3,ar-SA,ar-SA-ZariyahNeural,نتحدث عن الضمان.
00842a6f3d66139d.mp3,ar-SA,ar-SA-ZariyahNeural,فني/فنية ميكاترونكس سيارات
008823532aac44e3.mp3,ar-SA,ar-SA-ZariyahNeural,يزيل شيئاً
00955500d5bc9f79.mp3,ar-SA,ar-SA-ZariyahNeural,غطاء المحرك مفتوح.
00a34041cf2f2b40.mp3,ar-SA,ar-SA-ZariyahNeural,عرض مرضي
00ac45f4bc472b14.mp3,ar-SA,ar-SA-ZariyahNeural,أخيراً تأتي آنا.
00aebff3f9ca0316.mp3,ar-SA,ar-SA-ZariyahNeural,مطرقة
00b255bce8293b69.mp3,ar-SA,ar-SA-ZariyahNeural,معطّل؛ مكسور
00b4a60f339c5d5f.mp3,ar-SA,ar-SA-ZariyahNeural,مجتمع
00b8cb8a852b5e8e.mp3,ar-SA,ar-SA-ZariyahNeural,قدرة التحمل
00c4d5e1e826c4b2.mp3,ar-SA,ar-SA-ZariyahNeural,يتحمل مسؤولية العديد من الموظفين.
00d101e882a5c8cb.mp3,ar-SA,ar-SA-ZariyahNeural,أيضاً
00d813f979694213.mp3,ar-SA,ar-SA-ZariyahNeural,ينزّل
00e2bb0792a87b9b.mp3,ar-SA,ar-SA-ZariyahNeural,سنة
00eb644bd96e8b56.mp3,ar-SA,ar-SA-ZariyahNeural,أبيض
00f2262fbff7482d.mp3,ar-SA,ar-SA-ZariyahNeural,مشاركة
00fd9088184fa3b9.mp3,ar-SA,ar-SA-ZariyahNeural,يتم إرسال محضر المحادثة.
010320f14c973a1b.mp3,ar-SA,ar-SA-ZariyahNeural,مناسب
010550a5942eddf2.mp3,ar-SA,ar-SA-ZariyahNeural,تم تقديم طلب الإصلاح.
010b7d292f82396e.mp3,ar-SA,ar-SA-ZariyahNeural,الاستراحة تفيدني.
010cbe053ed4d1cf.mp3,ar-SA,ar-SA-ZariyahNeural,تؤسس شركتها الخاصة.
0118e7f336e85071.mp3,ar-SA,ar-SA-ZariyahNeural,الأزمة تؤثر على سوق العمل.
012d7067aa28e91e.mp3,ar-SA,ar-SA-ZariyahNeural,الفحص؛ التفتيش
012e7a1154dad1d4.mp3,ar-SA,ar-SA-ZariyahNeural,عملية/حالة: مرور / شارع
013f8cc2c9140e13.mp3,ar-SA,ar-SA-ZariyahNeural,أكد استلام البريد الإلكتروني.
0144fd31f92406a1.mp3,ar-SA,ar-SA-ZariyahNeural,فستان
014aae63b800568e.mp3,ar-SA,ar-SA-ZariyahNeural,بطني ممتلئ.
014bd7b0dda008e4.mp3,ar-SA,ar-SA-ZariyahNeural,قائمة التحقق
015081c7954924e9.mp3,ar-SA,ar-SA-ZariyahNeural,المحاضرة؛ العرض
01541a9a652382e6.mp3,ar-SA,ar-SA-ZariyahNeural,مضيف/مضيفة
015e8550c236b39f.mp3,ar-SA,ar-SA-ZariyahNeural,لم يعد الهاتف الذكي ممكناً تخيله في حياتي اليومية.
0163221e2ff58690.mp3,ar-SA,ar-SA-ZariyahNeural,الحلوى؛ طبق التحلية
01636d234f130924.mp3,ar-SA,ar-SA-ZariyahNeural,ينهض
01642ca9fb1d6ff1.mp3,ar-SA,ar-SA-ZariyahNeural,يخاف؛ لديه خوف
