filename,locale,voice,text
0006176566922636.mp3,uk-UA,uk-UA-PolinaNeural,електронне навчання; онлайн-навчання
000a5cc12e1ec1dd.mp3,uk-UA,uk-UA-PolinaNeural,частка роботодавця
0014c9163c9ab70e.mp3,uk-UA,uk-UA-PolinaNeural,Договір про неповну зайнятість важливий.
00170401cb1b8c75.mp3,uk-UA,uk-UA-PolinaNeural,Я їм булочку.
001b540f58f10bb2.mp3,uk-UA,uk-UA-PolinaNeural,соціальні відрахування
0020d5dc3b979bff.mp3,uk-UA,uk-UA-PolinaNeural,Компанія дуже інноваційна.
0021181b4395ca89.mp3,uk-UA,uk-UA-PolinaNeural,Батьки піклуються про своїх дітей.
002e7da3d544dce1.mp3,uk-UA,uk-UA-PolinaNeural,Помідор червоний.
003ddf1992f76c16.mp3,uk-UA,uk-UA-PolinaNeural,помічник на виробництві
0040bdcab171b96b.mp3,uk-UA,uk-UA-PolinaNeural,Це дуже толерантно.
004a7fb7d4195564.mp3,uk-UA,uk-UA-PolinaNeural,Це визначено правильно.
005689be0fde29aa.mp3,uk-UA,uk-UA-PolinaNeural,Змініть смугу руху.
005c9a57fa51dc14.mp3,uk-UA,uk-UA-PolinaNeural,картопля
00684877b09ffbe6.mp3,uk-UA,uk-UA-PolinaNeural,Курс виключно для початківців.
0074c1eb6b2ca63a.mp3,uk-UA,uk-UA-PolinaNeural,Ми очікуємо гостей.
00829f0acc4ee0b9.mp3,uk-UA,uk-UA-PolinaNeural,посудомийна машина
008ebf97dd9faeee.mp3,uk-UA,uk-UA-PolinaNeural,мати право на
00901382f4c11b89.mp3,uk-UA,uk-UA-PolinaNeural,Постійні витрати важливі.
009db206f9584638.mp3,uk-UA,uk-UA-PolinaNeural,Презентація на виставці важлива.
00a5741fbf1463c4.mp3,uk-UA,uk-UA-PolinaNeural,законне право
00b428206f9bc988.mp3,uk-UA,uk-UA-PolinaNeural,Випускниця шукає роботу.
00c3cb913dc59f19.mp3,uk-UA,uk-UA-PolinaNeural,дарувати щось
00cad0a8029b8c48.mp3,uk-UA,uk-UA-PolinaNeural,Я йду до банку.
00cb1ec082f67030.mp3,uk-UA,uk-UA-PolinaNeural,Я спробую ще раз.
00d35722b9d7ed4f.mp3,uk-UA,uk-UA-PolinaNeural,базові знання
00d3abd79ddf0e13.mp3,uk-UA,uk-UA-PolinaNeural,Ток-шоу було дуже цікавим.
00d658f5aafe53ab.mp3,uk-UA,uk-UA-PolinaNeural,планування
00d77b277847851f.mp3,uk-UA,uk-UA-PolinaNeural,Вона робить селфі перед дзеркалом.
00e34e7e6d92e4db.mp3,uk-UA,uk-UA-PolinaNeural,телефонна станція
00e4f6209460e202.mp3,uk-UA,uk-UA-PolinaNeural,Його поведінка була зовсім недоречною.
0101bb8449821e64.mp3,uk-UA,uk-UA-PolinaNeural,Я живу в Кельні.
0102d408d52b6fe0.mp3,uk-UA,uk-UA-PolinaNeural,свідоцтво про закінчення Realschule; середній шкільний атестат
0117eb70c5264ac5.mp3,uk-UA,uk-UA-PolinaNeural,свідоцтво; атестат; сертифікат
011e483a2c7c6249.mp3,uk-UA,uk-UA-PolinaNeural,дата
012c21762eb8de12.mp3,uk-UA,uk-UA-PolinaNeural,звертання на «ти»
0132aa505f6c7c0e.mp3,uk-UA,uk-UA-PolinaNeural,Контейнер повний.
01370e097b0989d2.mp3,uk-UA,uk-UA-PolinaNeural,рецепт
013955c7f5f21321.mp3,uk-UA,uk-UA-PolinaNeural,замовляти товари
0143095985e70a4f.mp3,uk-UA,uk-UA-PolinaNeural,оселитися; облаштуватися
01506ec6d849833c.mp3,uk-UA,uk-UA-PolinaNeural,криголам; засіб для початку розмови
01543305c2234e8b.mp3,uk-UA,uk-UA-PolinaNeural,повертатися
0156e8505f474416.mp3,uk-UA,uk-UA-PolinaNeural,служба підтримки клієнтів
015bda49c53767a8.mp3,uk-UA,uk-UA-PolinaNeural,Він часто запрошує.
0168f8ab5c3d0752.mp3,uk-UA,uk-UA-PolinaNeural,викликати клієнтів
0178092cf5e4045f.mp3,uk-UA,uk-UA-PolinaNeural,Завдання віднесено до відділу.
0178ae4b13cb79dd.mp3,uk-UA,uk-UA-PolinaNeural,той самий
0185c6f69f946730.mp3,uk-UA,uk-UA-PolinaNeural,лютий
018648dd000ee843.mp3,uk-UA,uk-UA-PolinaNeural,знати
01896e3e7487dee8.mp3,uk-UA,uk-UA-PolinaNeural,право на відпустку
0197f89961eb1039.mp3,uk-UA,uk-UA-PolinaNeural,розклад уроків
019d2e1ba0c3f6bf.mp3,uk-UA,uk-UA-PolinaNeural,Учень повинен залишитися після уроків.
019ea85e998a2dc3.mp3,uk-UA,uk-UA-PolinaNeural,медичне страхування
01a2c4d273fea050.mp3,uk-UA,uk-UA-PolinaNeural,Капот відкритий.
01ad9f7aaf292c42.mp3,uk-UA,uk-UA-PolinaNeural,фонд
01b055b7b4bff651.mp3,uk-UA,uk-UA-PolinaNeural,Це дуже дорослий.
01b314a4844c2e4d.mp3,uk-UA,uk-UA-PolinaNeural,віч-на-віч
01b84a89fbedc9a1.mp3,uk-UA,uk-UA-PolinaNeural,хаотичний
01bc4433a32d4d00.mp3,uk-UA,uk-UA-PolinaNeural,Поїзд швидкий.
01c2034c4ff4670a.mp3,uk-UA,uk-UA-PolinaNeural,Навички ведення переговорів важливі в роботі.
